P0,A0,B0,k_A,k_B,K,n,t_activation,t_cross,t50,t90,delta_t_50_90,t90_primary_limit,t90_excess_delay,max_secondary_fraction,secondary_fraction_at_t50,secondary_fraction_at_t90,secondary_reservoir_converted,integrated_secondary_fraction,B50_fraction_remaining,B90_fraction_remaining,final_P,final_A,final_B,max_conservation_error
0.01,0.39,0.6,0.15,0.1,0.5,1,10.610305152576288,6.858429214607304,10.760380190095049,,,9.14017925992735,,0.9292273355034081,0.6429471139853637,,0.7751813622300974,0.5466875518139829,0.6955635514177886,,0.8607763086881431,0.004332508649915103,0.13489118266194158,1.1102230246251565e-15
0.01,0.39,0.6,0.15,0.1,0.5,2,12.606303151575789,8.044022011005502,12.771385692846424,,,9.14017925992735,,0.941449303658642,0.7195097880467112,,0.7663483262237039,0.5438459883371921,0.7289286051516195,,0.8554764870843073,0.004332508649915085,0.14019100426577769,4.440892098500626e-16
0.01,0.39,0.6,0.15,0.1,0.5,4,16.013006503251628,10.64032016008004,16.193096548274138,,,9.14017925992735,,0.9564908491184088,0.8200763236018113,,0.7311839245901995,0.5321714512675841,0.7673641428913021,,0.8343778461042036,0.004332508649915013,0.16128964524588024,1.3322676295501878e-15
0.01,0.39,0.6,0.15,0.3,0.05,1,0.34517258629314657,0.13506753376688344,3.5267633816908455,11.435717858929465,7.90895447723862,9.14017925992735,2.295538599002114,0.7055085049324379,0.6767052638404002,0.43595275430506697,0.9997610538247983,0.6086676296429023,0.44041583801966205,0.04769655895724297,0.9955241236449656,0.00433250864991472,0.00014336770512106412,1.5543122344752192e-15
0.01,0.39,0.6,0.15,0.3,0.05,2,0.42021010505252626,0.28514257128564285,3.331665832916458,11.12056028014007,7.788894447223612,9.14017925992735,1.98038102021272,0.7347872056912548,0.6833802393822491,0.40576891605013626,0.999852141142885,0.6086893298359034,0.4297308477619707,0.0419857308683515,0.9955787760358163,0.004332508649914716,8.871531426902051e-05,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.3,0.05,4,0.5102551275637819,0.4502251125562782,3.331665832916458,11.105552776388194,7.7738869434717355,9.14017925992735,1.9653735164608435,0.7533918780108045,0.6852524382363084,0.404217197831816,0.9998560394743358,0.6086902585014405,0.42931338652467677,0.04168235573781776,0.9955811150346865,0.004332508649914718,8.637631539858212e-05,9.992007221626409e-16
0.01,0.39,0.6,0.15,0.3,0.1,1,0.8254127063531767,0.3901950975487744,3.9469734867433717,11.930965482741371,7.983991995997999,9.14017925992735,2.7907862228140203,0.6948709622141581,0.6833054633260364,0.4828959987493227,0.9995865354108234,0.6086260465136851,0.46465880903357154,0.05631602336027526,0.9954194125965796,0.0043325086499147,0.0002480787535059956,1.1102230246251565e-15
0.01,0.39,0.6,0.15,0.3,0.1,2,1.0205102551275638,0.735367683841921,3.8119059529764883,11.450725362681341,7.638819409704853,9.14017925992735,2.3105461027539906,0.7330396440156106,0.7054642975685395,0.4490971518187806,0.9998044909037842,0.6086779781783646,0.45660909730001153,0.048141141544582204,0.9955501858923554,0.004332508649914708,0.00011730545772951938,8.881784197001252e-16
0.01,0.39,0.6,0.15,0.3,0.1,4,1.2456228114057029,1.0655327663831917,3.856928464232116,11.420710355177588,7.563781890945473,9.14017925992735,2.280531095250238,0.7620868120247866,0.7150223681507718,0.4470950292396494,0.9998199824739866,0.6086816687882308,0.45792551899718614,0.047392084166949074,0.9955594808344765,0.004332508649914688,0.0001080105156080872,1.2212453270876722e-15
0.01,0.39,0.6,0.15,0.3,0.2,1,1.8909454727363681,0.8854427213606804,4.637318659329665,12.906453226613307,8.269134567283642,9.14017925992735,3.766273966685956,0.688992257280848,0.6885692363243827,0.5533060759289278,0.9989885278445909,0.6084834900556377,0.5002583369630905,0.07097550438472781,0.9950606080568394,0.004332508649914674,0.0006068832932454269,1.1102230246251565e-15
